Format Version,1.23,Take Name,IR_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-26 11.52.01.406 下午,Total Frames in Take,8372,Total Exported Frames,8372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
28,0.233333,-0.009601,0.965034,-0.002572,-0.261937,-2.434893,1.111352,-0.036313,0.000335,-0.016238,-0.000065,-0.999868,-0.091790,1.177499,-2.274062
29,0.241667,-0.009836,0.965029,-0.002595,-0.261945,-2.434751,1.111367,-0.036344,0.000299,-0.016309,-0.000061,-0.999867,-0.091796,1.177505,-2.274117
30,0.250000,-0.009620,0.965033,-0.002625,-0.261937,-2.434858,1.111353,-0.036295,0.000138,-0.016262,-0.000008,-0.999868,-0.091801,1.177488,-2.274122
31,0.258333,-0.009725,0.965032,-0.002557,-0.261939,-2.434822,1.111369,-0.036344,0.000140,-0.016380,-0.000018,-0.999866,-0.091789,1.177480,-2.274177
32,0.266667,-0.009808,0.965037,-0.002572,-0.261918,-2.434782,1.111369,-0.036335,0.000081,-0.016269,-0.000001,-0.999868,-0.091797,1.177484,-2.274125
33,0.275000,-0.009719,0.965036,-0.002570,-0.261925,-2.434818,1.111365,-0.036333,-0.000008,-0.016324,-0.000003,-0.999867,-0.091804,1.177492,-2.274176
34,0.283333,-0.009842,0.965046,-0.002549,-0.261882,-2.434752,1.111356,-0.036348,0.000089,-0.016272,-0.000022,-0.999868,-0.091798,1.177492,-2.274125
35,0.291667,-0.009685,0.965040,-0.002562,-0.261913,-2.434838,1.111364,-0.036325,0.000170,-0.016309,-0.000042,-0.999867,-0.091789,1.177500,-2.274123
36,0.300000,-0.009661,0.965066,-0.002537,-0.261816,-2.434845,1.111367,-0.036343,0.000271,-0.016276,-0.000017,-0.999868,-0.091793,1.177490,-2.274110
37,0.308333,-0.009827,0.965064,-0.002543,-0.261820,-2.434756,1.111373,-0.036356,0.000138,-0.016268,-0.000010,-0.999868,-0.091801,1.177494,-2.274118
38,0.316667,-0.009625,0.965022,-0.002577,-0.261978,-2.434871,1.111364,-0.036318,-0.000010,-0.016267,0.000016,-0.999868,-0.091798,1.177492,-2.274136
39,0.325000,-0.009761,0.965017,-0.002618,-0.261992,-2.434805,1.111346,-0.036305,0.000066,-0.016350,0.000004,-0.999866,-0.091806,1.177483,-2.274175
40,0.333333,-0.009783,0.965037,-0.002615,-0.261916,-2.434775,1.111366,-0.036318,0.000166,-0.016254,0.000003,-0.999868,-0.091809,1.177474,-2.274112
41,0.341667,-0.009636,0.965017,-0.002609,-0.261998,-2.434865,1.111358,-0.036307,0.000196,-0.016301,-0.000042,-0.999867,-0.091798,1.177497,-2.274116
42,0.350000,-0.009643,0.965036,-0.002585,-0.261926,-2.434858,1.111357,-0.036319,0.000157,-0.016361,-0.000023,-0.999866,-0.091797,1.177485,-2.274164
43,0.358333,-0.009713,0.965042,-0.002559,-0.261902,-2.434824,1.111365,-0.036340,0.000286,-0.016301,-0.000018,-0.999867,-0.091774,1.177489,-2.274120
44,0.366667,-0.009709,0.965015,-0.002557,-0.262004,-2.434837,1.111360,-0.036337,-0.000008,-0.016249,-0.000012,-0.999868,-0.091797,1.177502,-2.274129
45,0.375000,-0.009693,0.965073,-0.002507,-0.261792,-2.434837,1.111364,-0.036344,-0.000070,-0.016262,0.000030,-0.999868,-0.091797,1.177487,-2.274133
46,0.383333,-0.009626,0.965044,-0.002554,-0.261900,-2.434863,1.111357,-0.036336,0.000096,-0.016272,0.000001,-0.999868,-0.091793,1.177490,-2.274121
47,0.391667,-0.009680,0.965058,-0.002522,-0.261847,-2.434834,1.111363,-0.036346,0.000276,-0.016303,-0.000043,-0.999867,-0.091800,1.177499,-2.274113
48,0.400000,-0.009762,0.965035,-0.002555,-0.261928,-2.434798,1.111367,-0.036346,0.000027,-0.016275,-0.000027,-0.999868,-0.091790,1.177507,-2.274133
49,0.408333,-0.009734,0.965063,-0.002547,-0.261824,-2.434800,1.111367,-0.036353,0.000218,-0.016302,-0.000053,-0.999867,-0.091792,1.177500,-2.274120
50,0.416667,-0.009734,0.965028,-0.002565,-0.261953,-2.434816,1.111364,-0.036346,0.000078,-0.016257,-0.000005,-0.999868,-0.091797,1.177491,-2.274123
51,0.425000,-0.009717,0.965027,-0.002592,-0.261959,-2.434818,1.111356,-0.036329,0.000114,-0.016257,-0.000009,-0.999868,-0.091791,1.177485,-2.274117
52,0.433333,-0.009757,0.965042,-0.002530,-0.261901,-2.434798,1.111363,-0.036356,0.000126,-0.016231,-0.000003,-0.999868,-0.091798,1.177486,-2.274084
53,0.441667,-0.009762,0.965055,-0.002521,-0.261854,-2.434797,1.111376,-0.036370,0.000197,-0.016278,-0.000053,-0.999867,-0.091786,1.177506,-2.274116
54,0.450000,-0.009680,0.965064,-0.002508,-0.261825,-2.434832,1.111375,-0.036373,0.000038,-0.016286,-0.000044,-0.999867,-0.091790,1.177511,-2.274136
55,0.458333,-0.009668,0.965042,-0.002568,-0.261903,-2.434852,1.111353,-0.036330,0.000172,-0.016263,-0.000008,-0.999868,-0.091776,1.177495,-2.274118
56,0.466667,-0.009611,0.965028,-0.002504,-0.261958,-2.434907,1.111370,-0.036361,0.000150,-0.016275,-0.000032,-0.999868,-0.091797,1.177502,-2.274121
57,0.475000,-0.009695,0.965059,-0.002519,-0.261840,-2.434834,1.111371,-0.036353,0.000266,-0.016292,-0.000041,-0.999867,-0.091795,1.177493,-2.274111
58,0.483333,-0.009792,0.965040,-0.002503,-0.261908,-2.434798,1.111368,-0.036388,0.000041,-0.016259,-0.000033,-0.999868,-0.091790,1.177499,-2.274125
59,0.491667,-0.009698,0.965048,-0.002486,-0.261881,-2.434836,1.111368,-0.036389,0.000133,-0.016282,-0.000048,-0.999867,-0.091788,1.177506,-2.274119
60,0.500000,-0.009676,0.965070,-0.002532,-0.261800,-2.434846,1.111353,-0.036335,0.000096,-0.016347,0.000017,-0.999866,-0.091803,1.177479,-2.274172
61,0.508333,-0.009726,0.965039,-0.002555,-0.261914,-2.434820,1.111370,-0.036345,0.000070,-0.016278,-0.000028,-0.999868,-0.091784,1.177494,-2.274122
