Format Version,1.23,Take Name,IR_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-08 11.21.06.994 下午,Total Frames in Take,4774,Total Exported Frames,4774,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"1CDBFCD19DE311EF1656CE49CF709A83","1CDBFCD19DE311EF1656CE49CF709A83","1CDBFCD19DE311EF1656CE49CF709A83","1CDBFCD19DE311EF1656CE49CF709A83","1CDBFCD19DE311EF1656CE49CF709A83","1CDBFCD19DE311EF1656CE49CF709A83","1CDBFCD19DE311EF1656CE49CF709A83","970257859DE411EF1656CE49CF709A83","970257859DE411EF1656CE49CF709A83","970257859DE411EF1656CE49CF709A83","970257859DE411EF1656CE49CF709A83","970257859DE411EF1656CE49CF709A83","970257859DE411EF1656CE49CF709A83","970257859DE411EF1656CE49CF709A83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.000011,-0.000017,-0.000006,-1.000000,-0.387118,1.209148,-2.079198,-0.001479,0.120179,0.004960,-0.992739,-0.356937,1.292437,-0.820613
1,0.008333,0.000020,0.000021,-0.000003,-1.000000,-0.387104,1.209160,-2.079218,-0.001511,0.120154,0.004924,-0.992742,-0.356932,1.292438,-0.820616
2,0.016667,-0.000006,0.000063,-0.000000,-1.000000,-0.387099,1.209153,-2.079234,-0.001490,0.120193,0.004935,-0.992737,-0.356928,1.292438,-0.820616
3,0.025000,0.000028,0.000018,-0.000016,-1.000000,-0.387112,1.209150,-2.079221,-0.001492,0.120190,0.004914,-0.992738,-0.356933,1.292437,-0.820612
4,0.033333,0.000033,-0.000005,-0.000000,-1.000000,-0.387114,1.209160,-2.079209,-0.001507,0.120158,0.004923,-0.992742,-0.356935,1.292441,-0.820612
5,0.041667,0.000015,0.000004,-0.000000,-1.000000,-0.387117,1.209160,-2.079212,-0.001504,0.120158,0.004811,-0.992742,-0.356919,1.292430,-0.820611
