Format Version,1.23,Take Name,IR_017,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-26 11.30.52.456 下午,Total Frames in Take,5897,Total Exported Frames,5897,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.003104,0.896074,-0.001838,-0.443890,-1.289894,1.120671,0.191527,0.000095,-0.016584,-0.000004,-0.999862,-0.091920,1.177170,-2.273897
1,0.008333,-0.003147,0.896064,-0.001836,-0.443909,-1.289874,1.120670,0.191516,0.000286,-0.016494,0.000003,-0.999864,-0.091963,1.177154,-2.273814
2,0.016667,-0.003105,0.896096,-0.001812,-0.443847,-1.289889,1.120672,0.191515,-0.000001,-0.016587,-0.000015,-0.999862,-0.091906,1.177173,-2.273907
3,0.025000,-0.003115,0.896076,-0.001840,-0.443885,-1.289889,1.120665,0.191521,0.000220,-0.016593,-0.000043,-0.999862,-0.091917,1.177187,-2.273896
4,0.033333,-0.003116,0.896081,-0.001836,-0.443876,-1.289886,1.120668,0.191526,0.000271,-0.016490,0.000023,-0.999864,-0.091955,1.177143,-2.273808
5,0.041667,-0.003132,0.896073,-0.001819,-0.443891,-1.289884,1.120664,0.191509,0.000145,-0.016470,0.000054,-0.999864,-0.091952,1.177135,-2.273824
6,0.050000,-0.003114,0.896099,-0.001824,-0.443841,-1.289885,1.120669,0.191513,0.000189,-0.016581,-0.000047,-0.999863,-0.091910,1.177176,-2.273886
7,0.058333,-0.003109,0.896075,-0.001831,-0.443889,-1.289892,1.120667,0.191518,0.000166,-0.016511,0.000013,-0.999864,-0.091945,1.177143,-2.273824
8,0.066667,-0.003119,0.896084,-0.001808,-0.443871,-1.289889,1.120663,0.191509,0.000179,-0.016563,-0.000012,-0.999863,-0.091917,1.177177,-2.273893
9,0.075000,-0.003121,0.896072,-0.001828,-0.443894,-1.289888,1.120667,0.191515,0.000211,-0.016489,0.000018,-0.999864,-0.091951,1.177135,-2.273820
10,0.083333,-0.003128,0.896058,-0.001844,-0.443923,-1.289883,1.120665,0.191521,0.000105,-0.016604,-0.000011,-0.999862,-0.091906,1.177160,-2.273898
11,0.091667,-0.003143,0.896067,-0.001839,-0.443905,-1.289870,1.120663,0.191515,-0.000009,-0.016577,-0.000021,-0.999863,-0.091907,1.177181,-2.273914
12,0.100000,-0.003126,0.896073,-0.001821,-0.443892,-1.289880,1.120670,0.191511,0.000251,-0.016517,0.000022,-0.999864,-0.091946,1.177140,-2.273817
13,0.108333,,,,,,,,,,,,,,
14,0.116667,-0.003114,0.896084,-0.001812,-0.443869,-1.289888,1.120667,0.191516,0.000049,-0.016594,-0.000039,-0.999862,-0.091901,1.177174,-2.273902
15,0.125000,-0.003121,0.896069,-0.001829,-0.443900,-1.289884,1.120666,0.191521,0.000340,-0.016506,0.000030,-0.999864,-0.091956,1.177150,-2.273810
16,0.133333,-0.003112,0.896069,-0.001817,-0.443901,-1.289891,1.120671,0.191516,-0.000027,-0.016572,-0.000012,-0.999863,-0.091908,1.177181,-2.273910
