Format Version,1.23,Take Name,IR_013,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-14 10.37.51.213 下午,Total Frames in Take,5758,Total Exported Frames,5758,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"8B7C922FA29411EF1656CE49CF709B83","8B7C922FA29411EF1656CE49CF709B83","8B7C922FA29411EF1656CE49CF709B83","8B7C922FA29411EF1656CE49CF709B83","8B7C922FA29411EF1656CE49CF709B83","8B7C922FA29411EF1656CE49CF709B83","8B7C922FA29411EF1656CE49CF709B83","D9277F3A29511EF1656CE49CF709B83","D9277F3A29511EF1656CE49CF709B83","D9277F3A29511EF1656CE49CF709B83","D9277F3A29511EF1656CE49CF709B83","D9277F3A29511EF1656CE49CF709B83","D9277F3A29511EF1656CE49CF709B83","D9277F3A29511EF1656CE49CF709B83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.003541,-0.043125,-0.003380,-0.999058,-0.281434,1.117576,-1.949447,-0.000043,-0.000111,-0.000026,-1.000000,0.156666,1.114748,1.071876
1,0.008333,-0.003592,-0.043095,-0.003347,-0.999059,-0.281437,1.117572,-1.949455,0.000009,-0.000070,-0.000002,-1.000000,0.156659,1.114736,1.071890
2,0.016667,-0.003529,-0.043095,-0.003357,-0.999059,-0.281441,1.117581,-1.949447,-0.000077,-0.000209,0.000012,-1.000000,0.156650,1.114744,1.071900
3,0.025000,-0.003523,-0.043137,-0.003437,-0.999057,-0.281430,1.117578,-1.949452,0.000020,-0.000116,0.000005,-1.000000,0.156649,1.114738,1.071893
4,0.033333,-0.003547,-0.043101,-0.003389,-0.999059,-0.281427,1.117581,-1.949450,0.000008,-0.000133,0.000001,-1.000000,0.156647,1.114737,1.071900
5,0.041667,-0.003536,-0.043030,-0.003429,-0.999062,-0.281438,1.117579,-1.949459,-0.000078,-0.000256,-0.000029,-1.000000,0.156665,1.114743,1.071906
6,0.050000,-0.003557,-0.043086,-0.003326,-0.999059,-0.281447,1.117585,-1.949456,0.000003,-0.000128,-0.000015,-1.000000,0.156656,1.114738,1.071893
7,0.058333,-0.003546,-0.043072,-0.003419,-0.999060,-0.281435,1.117571,-1.949453,0.000006,0.000092,0.000008,-1.000000,0.156655,1.114727,1.071865
8,0.066667,,,,,,,,,,,,,,
9,0.075000,-0.003506,-0.043065,-0.003385,-0.999060,-0.281442,1.117584,-1.949447,-0.000075,-0.000241,-0.000004,-1.000000,0.156653,1.114741,1.071907
10,0.083333,-0.003511,-0.043098,-0.003435,-0.999059,-0.281427,1.117576,-1.949441,-0.000068,-0.000130,0.000023,-1.000000,0.156633,1.114723,1.071893
11,0.091667,,,,,,,,,,,,,,
12,0.100000,,,,,,,,,,,,,,
13,0.108333,-0.003580,-0.043155,-0.003400,-0.999056,-0.281438,1.117578,-1.949455,0.000007,-0.000120,-0.000009,-1.000000,0.156653,1.114740,1.071890
14,0.116667,-0.003556,-0.043138,-0.003362,-0.999057,-0.281443,1.117571,-1.949442,-0.000025,0.000066,-0.000016,-1.000000,0.156661,1.114723,1.071851
15,0.125000,-0.003520,-0.043064,-0.003450,-0.999060,-0.281418,1.117577,-1.949447,-0.000082,-0.000274,-0.000027,-1.000000,0.156659,1.114741,1.071911
16,0.133333,-0.003503,-0.043041,-0.003406,-0.999061,-0.281441,1.117590,-1.949449,-0.000082,-0.000096,-0.000013,-1.000000,0.156659,1.114724,1.071880
17,0.141667,-0.003539,-0.043086,-0.003393,-0.999059,-0.281444,1.117585,-1.949455,-0.000105,-0.000106,-0.000014,-1.000000,0.156655,1.114729,1.071873
18,0.150000,-0.003467,-0.043077,-0.003431,-0.999060,-0.281433,1.117596,-1.949448,-0.000089,-0.000272,-0.000026,-1.000000,0.156661,1.114741,1.071905
19,0.158333,-0.003510,-0.043061,-0.003380,-0.999061,-0.281444,1.117596,-1.949453,-0.000087,-0.000125,-0.000021,-1.000000,0.156658,1.114720,1.071884
20,0.166667,-0.003536,-0.043094,-0.003389,-0.999059,-0.281438,1.117595,-1.949448,-0.000012,-0.000070,-0.000011,-1.000000,0.156654,1.114746,1.071879
21,0.175000,-0.003553,-0.043120,-0.003366,-0.999058,-0.281443,1.117584,-1.949447,-0.000088,-0.000281,-0.000041,-1.000000,0.156667,1.114743,1.071903
22,0.183333,-0.003534,-0.043105,-0.003367,-0.999059,-0.281441,1.117592,-1.949448,-0.000009,0.000071,-0.000007,-1.000000,0.156656,1.114728,1.071868
23,0.191667,-0.003545,-0.043124,-0.003410,-0.999058,-0.281439,1.117592,-1.949450,-0.000079,-0.000265,-0.000020,-1.000000,0.156655,1.114745,1.071907
24,0.200000,-0.003529,-0.043080,-0.003403,-0.999060,-0.281441,1.117584,-1.949448,-0.000088,-0.000090,-0.000003,-1.000000,0.156655,1.114729,1.071882
25,0.208333,-0.003532,-0.043101,-0.003381,-0.999059,-0.281438,1.117587,-1.949446,-0.000003,-0.000140,-0.000022,-1.000000,0.156653,1.114740,1.071896
26,0.216667,-0.003563,-0.043078,-0.003374,-0.999060,-0.281451,1.117581,-1.949448,0.000015,-0.000061,0.000024,-1.000000,0.156644,1.114746,1.071891
27,0.225000,-0.003515,-0.043093,-0.003384,-0.999059,-0.281450,1.117585,-1.949445,-0.000011,-0.000078,-0.000011,-1.000000,0.156655,1.114746,1.071881
28,0.233333,-0.003552,-0.043130,-0.003360,-0.999058,-0.281442,1.117586,-1.949441,-0.000017,-0.000118,-0.000026,-1.000000,0.156657,1.114745,1.071884
29,0.241667,-0.003548,-0.043083,-0.003414,-0.999059,-0.281436,1.117582,-1.949447,-0.000008,-0.000036,-0.000000,-1.000000,0.156660,1.114744,1.071883
30,0.250000,-0.003463,-0.043071,-0.003401,-0.999060,-0.281448,1.117586,-1.949437,-0.000085,-0.000262,-0.000015,-1.000000,0.156653,1.114748,1.071908
31,0.258333,-0.003536,-0.043080,-0.003416,-0.999060,-0.281444,1.117583,-1.949450,0.000005,0.000086,0.000024,-1.000000,0.156642,1.114728,1.071869
32,0.266667,-0.003541,-0.043119,-0.003412,-0.999058,-0.281436,1.117586,-1.949440,-0.000077,-0.000115,-0.000013,-1.000000,0.156654,1.114729,1.071885
